,timestamp,type,player,payload.object_ids,payload.sequence,payload.amount,payload.unit_id,payload.unit,payload.building_id,payload.building,position.x,position.y,payload.target_id,payload.target_type,payload.order_id,payload.slot_id,payload.x,payload.y,payload.order,payload.technology_id,payload.technology,payload.stance_id,payload.stance,payload.x_end,payload.y_end,payload.formation_id,payload.formation,payload.resource_id,payload.resource,payload.command_id,payload.command
4,0 days 00:00:00.728000,DE_QUEUE,1,[1935],728,1.0,83.0,Villager,,,,,,,,,,,,,,,,,,,,,,,
7,0 days 00:00:01.768000,BUILD,1,"[1959, 1957]",1768,,,,70.0,House,100.0,81.0,,,,,,,,,,,,,,,,,,,
8,0 days 00:00:02.392000,BUILD,1,[1965],2392,,,,70.0,House,106.0,71.0,,,,,,,,,,,,,,,,,,,
10,0 days 00:00:02.730000,MOVE,1,[129040384],2730,,,,,,95.28125,68.28125,,,,,,,,,,,,,,,,,,,
11,0 days 00:00:02.938000,MOVE,1,[129040384],2938,,,,,,94.125,67.29166412353516,,,,,,,,,,,,,,,,,,,
13,0 days 00:00:03.744000,DE_QUEUE,1,[1935],3744,1.0,83.0,Villager,,,,,,,,,,,,,,,,,,,,,,,
14,0 days 00:00:04.355000,MOVE,1,"[153616384, 154009600]",4355,,,,,,96.04166412353516,73.45833587646484,,,,,,,,,,,,,,,,,,,
16,0 days 00:00:04.563000,MOVE,1,[153878528],4563,,,,,,96.36458587646484,72.53125,,,,,,,,,,,,,,,,,,,
17,0 days 00:00:04.758000,MOVE,1,[153878528],4758,,,,,,96.36458587646484,72.53125,,,,,,,,,,,,,,,,,,,
21,0 days 00:00:05.772000,MOVE,1,[153812992],5772,,,,,,83.57291412353516,85.61458587646484,,,,,,,,,,,,,,,,,,,
22,0 days 00:00:05.772000,MOVE,1,[153812992],5772,,,,,,81.96875,86.67708587646484,,,,,,,,,,,,,,,,,,,
23,0 days 00:00:05.980000,MOVE,1,[153812992],5980,,,,,,82.09375,86.92708587646484,,,,,,,,,,,,,,,,,,,
25,0 days 00:00:06.799000,MOVE,1,[153747456],6799,,,,,,92.32291412353516,92.82291412353516,,,,,,,,,,,,,,,,,,,
26,0 days 00:00:06.994000,MOVE,1,[153747456],6994,,,,,,91.66666412353516,93.41666412353516,,,,,,,,,,,,,,,,,,,
