,timestamp,type,param,player,payload.object_ids,payload.amount,payload.unit_id,payload.sequence,payload.unit,payload.building_id,payload.building,position.x,position.y,payload.target_id,payload.target_type,payload.order_id,payload.slot_id,payload.x,payload.y,payload.order,payload.technology_id,payload.technology,payload.stance_id,payload.stance,payload.x_end,payload.y_end,payload.formation_id,payload.formation,payload.resource_id,payload.resource,payload.command_id,payload.command,payload.message
1,0 days 00:00:00.936000,Queue,Villager,2,[1942],1,83,936,Villager,,,,,,,,,,,,,,,,,,,,,,,,
2,0 days 00:00:01.560000,Build,House,2,"[1963, 1961]",,,1560,,70,House,12,49,,,,,,,,,,,,,,,,,,,,
5,0 days 00:00:02.392000,Build,House,2,[1967],,,2392,,70,House,28,49,,,,,,,,,,,,,,,,,,,,
8,0 days 00:00:02.938000,Move,,2,[129171456],,,2938,,,,18.6875,58.5625,,,,,,,,,,,,,,,,,,,,
11,0 days 00:00:04.355000,Move,,2,[153878528],,,4355,,,,21.41666603088379,50.875,,,,,,,,,,,,,,,,,,,,
14,0 days 00:00:04.758000,Move,,2,[153878528],,,4758,,,,21.46875,50.76041793823242,,,,,,,,,,,,,,,,,,,,
15,0 days 00:00:05.369000,Move,,2,[129171456],,,5369,,,,17.6875,61.8125,,,,,,,,,,,,,,,,,,,,
16,0 days 00:00:05.577000,Move,,2,[129171456],,,5577,,,,17.58333396911621,62.58333206176758,,,,,,,,,,,,,,,,,,,,
20,0 days 00:00:06.591000,Move,,2,[153681920],,,6591,,,,41.71875,67.05208587646484,,,,,,,,,,,,,,,,,,,,
24,0 days 00:00:07.605000,Move,,2,"[154075136, 153944064]",,,7605,,,,37.79166793823242,77.83333587646484,,,,,,,,,,,,,,,,,,,,
27,0 days 00:00:08.619000,Move,,2,[129171456],,,8619,,,,0.5,84,,,,,,,,,,,,,,,,,,,,
30,0 days 00:00:09.022000,Queue,Villager,2,[1942],1,83,9022,Villager,,,,,,,,,,,,,,,,,,,,,,,,
32,0 days 00:00:09.438000,Queue,Villager,2,[1942],1,83,9438,Villager,,,,,,,,,,,,,,,,,,,,,,,,
36,0 days 00:00:10.049000,Move,,2,[153878528],,,10049,,,,21.47916603088379,50.60416793823242,,,,,,,,,,,,,,,,,,,,
37,0 days 00:00:10.049000,Move,,2,[153878528],,,10049,,,,21.3125,50.52083206176758,,,,,,,,,,,,,,,,,,,,
38,0 days 00:00:10.244000,Move,,2,[153878528],,,10244,,,,21.13541603088379,50.38541793823242,,,,,,,,,,,,,,,,,,,,
41,0 days 00:00:12.077000,Gather,Goat,2,"[128974847, 128647168, 128516096]",,,12077,,,,21.375154495239258,51.67229461669922,2348,,,,,,,,,,,,,,,,,,,
42,0 days 00:00:12.480000,Move,,2,[153878528],,,12480,,,,21.20833396911621,50.33333206176758,,,,,,,,,,,,,,,,,,,,
43,0 days 00:00:13.299000,Move,,2,[153681920],,,13299,,,,34.90625,51.82291793823242,,,,,,,,,,,,,,,,,,,,
44,0 days 00:00:14.508000,Move,,2,[153944064],,,14508,,,,45.79166793823242,62.45833206176758,,,,,,,,,,,,,,,,,,,,
47,0 days 00:00:15.327000,Move,,2,[129171456],,,15327,,,,2.3958332538604736,66.22916412353516,,,,,,,,,,,,,,,,,,,,
48,0 days 00:00:15.522000,Move,,2,[129171456],,,15522,,,,1.34375,63.01041793823242,,,,,,,,,,,,,,,,,,,,
49,0 days 00:00:15.938000,Move,,2,[129171456],,,15938,,,,0.5,60,,,,,,,,,,,,,,,,,,,,
51,0 days 00:00:16.952000,Gather Point,Goat,2,[1942],,,16952,,,,21.20833396911621,50.33333206176758,2348,1060,,,,,,,,,,,,,,,,,,
53,0 days 00:00:17.563000,Move,,2,[153878528],,,17563,,,,21.0625,50.14583206176758,,,,,,,,,,,,,,,,,,,,
58,0 days 00:00:18.980000,Move,,2,[153681920],,,18980,,,,19.71875,50.76041793823242,,,,,,,,,,,,,,,,,,,,
59,0 days 00:00:19.188000,Move,,2,[153681920],,,19188,,,,18.92708396911621,50.21875,,,,,,,,,,,,,,,,,,,,
60,0 days 00:00:20.813000,Move,,2,[153944064],,,20813,,,,41.34375,55.38541793823242,,,,,,,,,,,,,,,,,,,,
61,0 days 00:00:21.619000,Move,,2,[154075136],,,21619,,,,46.11198043823242,74.7421875,,,,,,,,,,,,,,,,,,,,
63,0 days 00:00:22.633000,Move,,2,[129171456],,,22633,,,,0.5,49,,,,,,,,,,,,,,,,,,,,
64,0 days 00:00:22.633000,Move,,2,[129171456],,,22633,,,,0.5,48,,,,,,,,,,,,,,,,,,,,
67,0 days 00:00:23.855000,Gather Point,Goat,2,[1942],,,23855,,,,21.20833396911621,50.33333206176758,2348,1060,,,,,,,,,,,,,,,,,,
68,0 days 00:00:24.869000,Garrison,,2,"[502528, 502016]",,,24869,,,,,,1942,,5,0,-1,-1,Garrison,,,,,,,,,,,,,
73,0 days 00:00:26.494000,Back To Work,,2,[1942],,,26494,,,,,,,,,,,,,,,,,,,,,,,,,
74,0 days 00:00:26.494000,Back To Work,,2,[1942],,,26494,,,,,,,,,,,,,,,,,,,,,,,,,
76,0 days 00:00:26.702000,Back To Work,,2,[1942],,,26702,,,,,,,,,,,,,,,,,,,,,,,,,
80,0 days 00:00:27.508000,Move,,2,[153812992],,,27508,,,,2.3020832538604736,48.13541793823242,,,,,,,,,,,,,,,,,,,,
82,0 days 00:00:28.119000,Queue,Villager,2,[1942],1,83,28119,Villager,,,,,,,,,,,,,,,,,,,,,,,,
83,0 days 00:00:28.327000,Queue,Villager,2,[1942],1,83,28327,Villager,,,,,,,,,,,,,,,,,,,,,,,,
85,0 days 00:00:28.730000,Gather Point,Goat,2,[1942],,,28730,,,,21.20833396911621,50.33333206176758,2348,1060,,,,,,,,,,,,,,,,,,
89,0 days 00:00:29.341000,Move,,2,[153681920],,,29341,,,,20.34375,50.63541793823242,,,,,,,,,,,,,,,,,,,,
91,0 days 00:00:29.549000,Move,,2,[153681920],,,29549,,,,20.27083396911621,50.4375,,,,,,,,,,,,,,,,,,,,
94,0 days 00:00:30.966000,Move,,2,[153944064],,,30966,,,,37.2421875,45.3203125,,,,,,,,,,,,,,,,,,,,
95,0 days 00:00:31.980000,Move,,2,[154075136],,,31980,,,,40.72916793823242,57.64583206176758,,,,,,,,,,,,,,,,,,,,
101,0 days 00:00:33.605000,Move,,2,[153944064],,,33605,,,,33.59375,42.59375,,,,,,,,,,,,,,,,,,,,
102,0 days 00:00:34.827000,Move,,2,[129171456],,,34827,,,,8.885416984558105,35.51041793823242,,,,,,,,,,,,,,,,,,,,
103,0 days 00:00:35.230000,Move,,2,[129171456],,,35230,,,,9.03125,36.28125,,,,,,,,,,,,,,,,,,,,
104,0 days 00:00:36.452000,Gather Point,Goat,2,[1942],,,36452,,,,21.20833396911621,50.33333206176758,2348,1060,,,,,,,,,,,,,,,,,,
105,0 days 00:00:38.077000,Move,,2,[153681920],,,38077,,,,20.33333396911621,50.58333206176758,,,,,,,,,,,,,,,,,,,,
107,0 days 00:00:39.091000,Move,,2,[129171456],,,39091,,,,5.854166507720947,33.6875,,,,,,,,,,,,,,,,,,,,
108,0 days 00:00:41.327000,Move,,2,[153944064],,,41327,,,,34.14583206176758,41.8125,,,,,,,,,,,,,,,,,,,,
111,0 days 00:00:42.549000,Move,,2,[154075136],,,42549,,,,44.52083206176758,48.3125,,,,,,,,,,,,,,,,,,,,
114,0 days 00:00:43.563000,Move,,2,[129171456],,,43563,,,,12.0625,31.5625,,,,,,,,,,,,,,,,,,,,
120,0 days 00:00:44.980000,Gather Point,Goat,2,[1942],,,44980,,,,21.20833396911621,50.33333206176758,2348,1060,,,,,,,,,,,,,,,,,,
125,0 days 00:00:46.397000,Move,,2,[153747456],,,46397,,,,14.864583015441895,30.86458396911621,,,,,,,,,,,,,,,,,,,,
127,0 days 00:00:47.008000,Move,,2,[153747456],,,47008,,,,16.26041603088379,30.96875,,,,,,,,,,,,,,,,,,,,
130,0 days 00:00:48.438000,Move,,2,[153944064],,,48438,,,,28.85416603088379,38.6875,,,,,,,,,,,,,,,,,,,,
131,0 days 00:00:49.452000,Move,,2,[129171456],,,49452,,,,33.97916793823242,36.9375,,,,,,,,,,,,,,,,,,,,
134,0 days 00:00:51.077000,Move,,2,[154075136],,,51077,,,,41.91666793823242,47.91666793823242,,,,,,,,,,,,,,,,,,,,
136,0 days 00:00:52.091000,Move,,2,[129171456],,,52091,,,,23.63541603088379,32.71875,,,,,,,,,,,,,,,,,,,,
137,0 days 00:00:52.702000,Move,,2,[129171456],,,52702,,,,23.65625,32.36458206176758,,,,,,,,,,,,,,,,,,,,
140,0 days 00:00:53.716000,Move,,2,[153616384],,,53716,,,,22.5,33.29166793823242,,,,,,,,,,,,,,,,,,,,
146,0 days 00:00:56.966000,Move,,2,[153681920],,,56966,,,,20.46875,50.38541793823242,,,,,,,,,,,,,,,,,,,,
147,0 days 00:00:57.174000,Move,,2,[153681920],,,57174,,,,20.44791603088379,50.28125,,,,,,,,,,,,,,,,,,,,
148,0 days 00:00:57.772000,Move,,2,[129171456],,,57772,,,,28.35677146911621,33.20573043823242,,,,,,,,,,,,,,,,,,,,
149,0 days 00:00:57.980000,Move,,2,[129171456],,,57980,,,,28.35677146911621,33.20573043823242,,,,,,,,,,,,,,,,,,,,
154,0 days 00:00:58.994000,Move,,2,[153812992],,,58994,,,,25.55208396911621,23.55208396911621,,,,,,,,,,,,,,,,,,,,
156,0 days 00:00:59.202000,Move,,2,[153812992],,,59202,,,,25.59375,23.51041603088379,,,,,,,,,,,,,,,,,,,,
158,0 days 00:01:00.008000,Move,,2,[153944064],,,60008,,,,23.59375,37.30208206176758,,,,,,,,,,,,,,,,,,,,
