,timestamp,type,param,player,payload.object_ids,payload.amount,payload.unit_id,payload.sequence,payload.unit,payload.building_id,payload.building,position.x,position.y,payload.target_id,payload.target_type,payload.order_id,payload.slot_id,payload.x,payload.y,payload.order,payload.technology_id,payload.technology,payload.stance_id,payload.stance,payload.x_end,payload.y_end,payload.formation_id,payload.formation,payload.resource_id,payload.resource,payload.command_id,payload.command,payload.message
0,0 days 00:00:00.728000,Queue,Villager,1,[1935],1.0,83.0,728.0,Villager,,,,,,,,,,,,,,,,,,,,,,,,
3,0 days 00:00:01.768000,Build,House,1,"[1959, 1957]",,,1768.0,,70.0,House,100.0,81.0,,,,,,,,,,,,,,,,,,,,
4,0 days 00:00:02.392000,Build,House,1,[1965],,,2392.0,,70.0,House,106.0,71.0,,,,,,,,,,,,,,,,,,,,
6,0 days 00:00:02.730000,Move,,1,[129040384],,,2730.0,,,,95.28125,68.28125,,,,,,,,,,,,,,,,,,,,
7,0 days 00:00:02.938000,Move,,1,[129040384],,,2938.0,,,,94.125,67.29166412353516,,,,,,,,,,,,,,,,,,,,
9,0 days 00:00:03.744000,Queue,Villager,1,[1935],1.0,83.0,3744.0,Villager,,,,,,,,,,,,,,,,,,,,,,,,
10,0 days 00:00:04.355000,Move,,1,"[153616384, 154009600]",,,4355.0,,,,96.04166412353516,73.45833587646484,,,,,,,,,,,,,,,,,,,,
12,0 days 00:00:04.563000,Move,,1,[153878528],,,4563.0,,,,96.36458587646484,72.53125,,,,,,,,,,,,,,,,,,,,
13,0 days 00:00:04.758000,Move,,1,[153878528],,,4758.0,,,,96.36458587646484,72.53125,,,,,,,,,,,,,,,,,,,,
17,0 days 00:00:05.772000,Move,,1,[153812992],,,5772.0,,,,83.57291412353516,85.61458587646484,,,,,,,,,,,,,,,,,,,,
18,0 days 00:00:05.772000,Move,,1,[153812992],,,5772.0,,,,81.96875,86.67708587646484,,,,,,,,,,,,,,,,,,,,
19,0 days 00:00:05.980000,Move,,1,[153812992],,,5980.0,,,,82.09375,86.92708587646484,,,,,,,,,,,,,,,,,,,,
21,0 days 00:00:06.799000,Move,,1,[153747456],,,6799.0,,,,92.32291412353516,92.82291412353516,,,,,,,,,,,,,,,,,,,,
22,0 days 00:00:06.994000,Move,,1,[153747456],,,6994.0,,,,91.66666412353516,93.41666412353516,,,,,,,,,,,,,,,,,,,,
23,0 days 00:00:07.202000,Move,,1,[153747456],,,7202.0,,,,91.60416412353516,93.52083587646484,,,,,,,,,,,,,,,,,,,,
25,0 days 00:00:07.813000,Move,,1,[129040384],,,7813.0,,,,86.38541412353516,54.17708206176758,,,,,,,,,,,,,,,,,,,,
26,0 days 00:00:08.008000,Move,,1,[129040384],,,8008.0,,,,87.13541412353516,57.17708206176758,,,,,,,,,,,,,,,,,,,,
28,0 days 00:00:08.827000,Queue,Villager,1,[1935],1.0,83.0,8827.0,Villager,,,,,,,,,,,,,,,,,,,,,,,,
29,0 days 00:00:09.022000,Queue,Villager,1,[1935],1.0,83.0,9022.0,Villager,,,,,,,,,,,,,,,,,,,,,,,,
31,0 days 00:00:09.230000,Queue,Villager,1,[1935],1.0,83.0,9230.0,Villager,,,,,,,,,,,,,,,,,,,,,,,,
33,0 days 00:00:09.633000,Move,,1,[154009600],,,9633.0,,,,96.22916412353516,73.35416412353516,,,,,,,,,,,,,,,,,,,,
34,0 days 00:00:09.841000,Move,,1,[154009600],,,9841.0,,,,96.28125,73.11458587646484,,,,,,,,,,,,,,,,,,,,
35,0 days 00:00:10.049000,Move,,1,[154009600],,,10049.0,,,,96.28125,73.23958587646484,,,,,,,,,,,,,,,,,,,,
